no,brand,model,year,zone,url
43,MINI,Cooper SE Iconic (Electrico/Aut.),2024,CDMX,https://www.google.com/search?q=MINI+Cooper+SE+Iconic+%28Electrico%2FAut.%29+2024+CDMX+seminuevo
43,MINI,Cooper SE Iconic (Electrico/Aut.),2024,Metepec,https://www.google.com/search?q=MINI+Cooper+SE+Iconic+%28Electrico%2FAut.%29+2024+Metepec+seminuevo
45,BMW,iX xDrive50 (Electrico/Automatico),2025,Toluca,https://www.google.com/search?q=BMW+iX+xDrive50+%28Electrico%2FAutomatico%29+2025+Toluca+seminuevo
45,BMW,iX xDrive50 (Electrico/Automatico),2025,CDMX,https://www.google.com/search?q=BMW+iX+xDrive50+%28Electrico%2FAutomatico%29+2025+CDMX+seminuevo
45,BMW,iX xDrive50 (Electrico/Automatico),2025,Metepec,https://www.google.com/search?q=BMW+iX+xDrive50+%28Electrico%2FAutomatico%29+2025+Metepec+seminuevo
46,MINI,Cooper SE (Electrico/Aut.),2024,Toluca,https://www.google.com/search?q=MINI+Cooper+SE+%28Electrico%2FAut.%29+2024+Toluca+seminuevo
46,MINI,Cooper SE (Electrico/Aut.),2024,CDMX,https://www.google.com/search?q=MINI+Cooper+SE+%28Electrico%2FAut.%29+2024+CDMX+seminuevo
46,MINI,Cooper SE (Electrico/Aut.),2024,Metepec,https://www.google.com/search?q=MINI+Cooper+SE+%28Electrico%2FAut.%29+2024+Metepec+seminuevo
47,BMW,XM (Hibrido/Automatico),2023,Toluca,https://www.google.com/search?q=BMW+XM+%28Hibrido%2FAutomatico%29+2023+Toluca+seminuevo
47,BMW,XM (Hibrido/Automatico),2023,CDMX,https://www.google.com/search?q=BMW+XM+%28Hibrido%2FAutomatico%29+2023+CDMX+seminuevo
47,BMW,XM (Hibrido/Automatico),2023,Metepec,https://www.google.com/search?q=BMW+XM+%28Hibrido%2FAutomatico%29+2023+Metepec+seminuevo
49,Land-Rover,Range-Rover Sport 3.0 Dynamic SE 400PS MHEV,2024,Toluca,https://www.google.com/search?q=Land-Rover+Range-Rover+Sport+3.0+Dynamic+SE+400PS+MHEV+2024+Toluca+seminuevo
49,Land-Rover,Range-Rover Sport 3.0 Dynamic SE 400PS MHEV,2024,CDMX,https://www.google.com/search?q=Land-Rover+Range-Rover+Sport+3.0+Dynamic+SE+400PS+MHEV+2024+CDMX+seminuevo
49,Land-Rover,Range-Rover Sport 3.0 Dynamic SE 400PS MHEV,2024,Metepec,https://www.google.com/search?q=Land-Rover+Range-Rover+Sport+3.0+Dynamic+SE+400PS+MHEV+2024+Metepec+seminuevo
50,BMW,118i (Automatico) 5p,2018,Toluca,https://www.google.com/search?q=BMW+118i+%28Automatico%29+5p+2018+Toluca+seminuevo
50,BMW,118i (Automatico) 5p,2018,CDMX,https://www.google.com/search?q=BMW+118i+%28Automatico%29+5p+2018+CDMX+seminuevo
50,BMW,118i (Automatico) 5p,2018,Metepec,https://www.google.com/search?q=BMW+118i+%28Automatico%29+5p+2018+Metepec+seminuevo
52,BMW,X5 xDrive50e (Hibrido/Aut),2024,Toluca,https://www.google.com/search?q=BMW+X5+xDrive50e+%28Hibrido%2FAut%29+2024+Toluca+seminuevo
52,BMW,X5 xDrive50e (Hibrido/Aut),2024,CDMX,https://www.google.com/search?q=BMW+X5+xDrive50e+%28Hibrido%2FAut%29+2024+CDMX+seminuevo
52,BMW,X5 xDrive50e (Hibrido/Aut),2024,Metepec,https://www.google.com/search?q=BMW+X5+xDrive50e+%28Hibrido%2FAut%29+2024+Metepec+seminuevo
